loan_amnt,int_rate,annual_inc,dti,delinq_2yrs,revol_bal,total_acc,actual_default,default_probability,risk_score,risk_band,decision
10000.0,9.17,77000.0,9.59,0.0,3847.0,34.0,0,0.075,7.5,Low Risk,Approve
6000.0,11.53,67000.0,13.13,0.0,7978.0,15.0,0,0.085,8.5,Low Risk,Approve
16000.0,18.24,65000.0,26.2,1.0,21824.0,34.0,0,0.32,32.0,Medium Risk,Manual Review
35000.0,20.99,142500.0,23.3,0.0,44714.0,43.0,0,0.225,22.5,Medium Risk,Manual Review
5000.0,12.99,57000.0,15.45,0.0,15172.0,19.0,1,0.205,20.5,Medium Risk,Manual Review
20000.0,14.3,82000.0,22.91,0.0,15966.0,36.0,0,0.13,13.0,Low Risk,Approve
4000.0,12.69,53000.0,23.6,0.0,16216.0,18.0,0,0.2,20.0,Medium Risk,Manual Review
30000.0,17.86,95000.0,39.08,1.0,30898.0,32.0,0,0.34,34.0,Medium Risk,Manual Review
3000.0,8.39,40000.0,12.3,0.0,4222.0,15.0,0,0.09,9.0,Low Risk,Approve
13900.0,13.33,45000.0,19.41,0.0,29823.0,22.0,0,0.375,37.5,Medium Risk,Manual Review
11250.0,19.99,42000.0,26.2,1.0,5276.0,23.0,0,0.36,36.0,Medium Risk,Manual Review
18000.0,15.77,79500.0,23.15,0.0,11999.0,26.0,0,0.23,23.0,Medium Risk,Manual Review
8000.0,10.99,57400.0,8.2,1.0,6193.0,39.0,1,0.145,14.5,Low Risk,Approve
25475.0,13.33,85000.0,11.66,0.0,17831.0,16.0,0,0.13,13.0,Low Risk,Approve
24000.0,17.27,152000.0,3.04,0.0,7402.0,8.0,0,0.38,38.0,Medium Risk,Manual Review
17000.0,7.97,132800.0,13.11,0.0,6773.0,35.0,0,0.13,13.0,Low Risk,Approve
2400.0,21.99,18000.0,32.27,0.0,13198.0,17.0,1,0.29,29.0,Medium Risk,Manual Review
18000.0,14.65,60000.0,33.18,0.0,5385.0,33.0,0,0.265,26.5,Medium Risk,Manual Review
20000.0,16.99,147000.0,22.37,1.0,32473.0,44.0,1,0.39,39.0,Medium Risk,Manual Review
4800.0,13.67,63000.0,15.47,0.0,2944.0,6.0,0,0.18,18.0,Low Risk,Approve
13000.0,6.62,115000.0,12.79,0.0,0.0,27.0,0,0.05,5.0,Low Risk,Approve
12000.0,11.49,78000.0,24.92,0.0,29162.0,22.0,0,0.18,18.0,Low Risk,Approve
7000.0,5.32,84000.0,8.41,0.0,20572.0,16.0,1,0.03,3.0,Low Risk,Approve
25000.0,6.99,95000.0,18.61,1.0,15516.0,46.0,1,0.085,8.5,Low Risk,Approve
10400.0,6.97,83000.0,7.89,0.0,8942.0,29.0,0,0.025,2.5,Low Risk,Approve
14000.0,8.59,75000.0,12.21,0.0,11220.0,19.0,0,0.07,7.0,Low Risk,Approve
20800.0,13.33,52000.0,19.36,0.0,14117.0,13.0,1,0.16,16.0,Low Risk,Approve
6000.0,10.42,68500.0,36.19,0.0,6775.0,25.0,0,0.175,17.5,Low Risk,Approve
20000.0,6.39,110000.0,19.73,0.0,2442.0,34.0,0,0.085,8.5,Low Risk,Approve
16000.0,11.14,70000.0,7.01,1.0,14684.0,8.0,0,0.13,13.0,Low Risk,Approve
35000.0,13.44,180000.0,23.33,0.0,74021.0,39.0,0,0.225,22.5,Medium Risk,Manual Review
25000.0,15.31,180000.0,20.68,0.0,54036.0,23.0,0,0.15,15.0,Low Risk,Approve
5600.0,8.18,37045.0,16.72,0.0,5990.0,18.0,0,0.07,7.0,Low Risk,Approve
4000.0,18.2,23000.0,30.74,0.0,4995.0,10.0,0,0.265,26.5,Medium Risk,Manual Review
30000.0,24.85,35360.0,33.64,0.0,16797.0,14.0,0,0.42,42.0,Medium Risk,Manual Review
18000.0,8.67,200000.0,11.83,1.0,8492.0,38.0,0,0.085,8.5,Low Risk,Approve
30000.0,13.99,73000.0,30.96,1.0,20823.0,29.0,0,0.29,29.0,Medium Risk,Manual Review
14000.0,12.79,118000.0,8.53,0.0,11956.0,7.0,0,0.26,26.0,Medium Risk,Manual Review
12000.0,6.24,46000.0,8.95,0.0,8758.0,19.0,0,0.025,2.5,Low Risk,Approve
24000.0,11.99,60000.0,18.72,0.0,12154.0,25.0,1,0.175,17.5,Low Risk,Approve
8750.0,15.31,32500.0,16.06,1.0,2556.0,23.0,0,0.215,21.5,Medium Risk,Manual Review
4000.0,9.44,96420.0,6.0,0.0,5357.0,19.0,0,0.11,11.0,Low Risk,Approve
14050.0,23.88,33500.0,9.39,1.0,5605.0,13.0,1,0.28,28.0,Medium Risk,Manual Review
16800.0,25.49,45000.0,28.05,0.0,12610.0,49.0,1,0.45,45.0,Medium Risk,Manual Review
30000.0,18.06,86500.0,17.47,0.0,20169.0,8.0,0,0.28,28.0,Medium Risk,Manual Review
6000.0,18.99,42000.0,16.42,0.0,14512.0,16.0,1,0.32,32.0,Medium Risk,Manual Review
35000.0,7.89,350000.0,6.45,0.0,39314.0,27.0,0,0.075,7.5,Low Risk,Approve
2875.0,18.99,45000.0,18.35,1.0,916.0,12.0,1,0.275,27.5,Medium Risk,Manual Review
24000.0,6.24,165000.0,10.91,0.0,29586.0,20.0,0,0.04,4.0,Low Risk,Approve
10000.0,12.69,40000.0,10.05,1.0,2664.0,14.0,0,0.185,18.5,Low Risk,Approve
22000.0,14.46,55000.0,18.7,0.0,25018.0,24.0,1,0.315,31.5,Medium Risk,Manual Review
10000.0,8.18,70000.0,17.4,0.0,12379.0,26.0,0,0.07,7.0,Low Risk,Approve
13000.0,10.49,60000.0,21.08,0.0,18329.0,25.0,0,0.11,11.0,Low Risk,Approve
10000.0,14.08,41000.0,11.94,0.0,336.0,41.0,1,0.3,30.0,Medium Risk,Manual Review
16000.0,8.18,89000.0,24.53,0.0,29929.0,42.0,0,0.055,5.5,Low Risk,Approve
13000.0,11.06,50000.0,18.22,0.0,3855.0,8.0,0,0.175,17.5,Low Risk,Approve
21000.0,11.53,99000.0,12.84,0.0,39929.0,37.0,0,0.125,12.5,Low Risk,Approve
20000.0,22.15,93500.0,7.74,1.0,12177.0,14.0,1,0.49,49.0,Medium Risk,Manual Review
30000.0,19.99,91500.0,21.08,0.0,60859.0,24.0,0,0.375,37.5,Medium Risk,Manual Review
18150.0,10.75,130000.0,5.71,2.0,15123.0,29.0,0,0.055,5.5,Low Risk,Approve
18900.0,13.99,45000.0,19.81,0.0,11071.0,27.0,1,0.31,31.0,Medium Risk,Manual Review
16000.0,5.32,101000.0,23.24,0.0,22949.0,32.0,0,0.015,1.5,Low Risk,Approve
20000.0,20.89,65000.0,24.55,1.0,23402.0,46.0,1,0.6,60.0,High Risk,Reject
3600.0,13.49,23600.0,2.64,0.0,394.0,8.0,0,0.105,10.5,Low Risk,Approve
33000.0,10.64,184500.0,18.63,0.0,14351.0,29.0,0,0.255,25.5,Medium Risk,Manual Review
5000.0,9.17,38000.0,8.65,0.0,7861.0,12.0,0,0.155,15.5,Low Risk,Approve
3000.0,14.49,40000.0,13.62,0.0,11849.0,13.0,0,0.15,15.0,Low Risk,Approve
10625.0,23.1,45000.0,6.91,1.0,5192.0,22.0,0,0.37,37.0,Medium Risk,Manual Review
14450.0,17.27,44000.0,15.58,1.0,19108.0,12.0,0,0.145,14.5,Low Risk,Approve
20000.0,7.39,92000.0,6.69,0.0,396.0,17.0,0,0.045,4.5,Low Risk,Approve
5600.0,17.99,90000.0,23.16,1.0,15214.0,37.0,0,0.22,22.0,Medium Risk,Manual Review
5800.0,10.99,40000.0,32.64,1.0,23979.0,23.0,0,0.145,14.5,Low Risk,Approve
24000.0,7.62,180000.0,5.81,0.0,68.0,15.0,0,0.035,3.5,Low Risk,Approve
5500.0,13.98,50000.0,30.46,0.0,9303.0,36.0,1,0.17,17.0,Low Risk,Approve
5025.0,16.99,45000.0,2.94,0.0,5413.0,13.0,0,0.09,9.0,Low Risk,Approve
3200.0,16.99,99000.0,21.15,0.0,12823.0,30.0,0,0.21,21.0,Medium Risk,Manual Review
11550.0,19.99,86000.0,11.92,1.0,4046.0,11.0,0,0.225,22.5,Medium Risk,Manual Review
11875.0,17.57,75000.0,22.32,0.0,6631.0,21.0,0,0.335,33.5,Medium Risk,Manual Review
4575.0,18.25,9166.8,28.96,0.0,3927.0,13.0,1,0.27,27.0,Medium Risk,Manual Review
35000.0,18.24,255000.0,11.24,0.0,43883.0,19.0,1,0.33,33.0,Medium Risk,Manual Review
10000.0,5.32,43000.0,11.06,0.0,14187.0,20.0,0,0.05,5.0,Low Risk,Approve
10000.0,6.68,50000.0,9.0,0.0,3363.0,33.0,0,0.02,2.0,Low Risk,Approve
14000.0,14.49,79854.0,19.03,1.0,4588.0,26.0,0,0.27,27.0,Medium Risk,Manual Review
35000.0,22.4,145000.0,11.45,0.0,34061.0,51.0,1,0.23,23.0,Medium Risk,Manual Review
34875.0,18.25,100000.0,12.49,0.0,19749.0,17.0,0,0.51,51.0,High Risk,Reject
27000.0,6.49,110000.0,12.26,0.0,10269.0,26.0,0,0.07,7.0,Low Risk,Approve
11200.0,18.54,30000.0,32.44,0.0,2835.0,20.0,1,0.51,51.0,High Risk,Reject
10000.0,18.84,34000.0,12.92,0.0,6808.0,6.0,0,0.235,23.5,Medium Risk,Manual Review
19000.0,16.29,48500.0,23.31,0.0,1404.0,24.0,0,0.485,48.5,Medium Risk,Manual Review
18000.0,10.75,90000.0,16.63,1.0,19272.0,42.0,0,0.04,4.0,Low Risk,Approve
25000.0,17.76,135000.0,13.1,0.0,21255.0,22.0,0,0.28,28.0,Medium Risk,Manual Review
20000.0,8.18,70000.0,4.99,0.0,12911.0,29.0,0,0.13,13.0,Low Risk,Approve
16200.0,12.79,69000.0,24.32,0.0,11683.0,27.0,1,0.405,40.5,Medium Risk,Manual Review
12000.0,16.02,84000.0,34.8,1.0,19403.0,49.0,0,0.205,20.5,Medium Risk,Manual Review
10000.0,16.55,37260.0,15.43,0.0,11047.0,18.0,1,0.34,34.0,Medium Risk,Manual Review
29400.0,24.99,70000.0,26.11,2.0,19658.0,38.0,1,0.395,39.5,Medium Risk,Manual Review
12000.0,13.59,181000.0,33.99,0.0,29998.0,38.0,0,0.24,24.0,Medium Risk,Manual Review
18000.0,21.49,75600.0,14.65,0.0,14114.0,15.0,0,0.24,24.0,Medium Risk,Manual Review
32225.0,19.99,76809.0,14.94,0.0,17203.0,8.0,0,0.28,28.0,Medium Risk,Manual Review
25000.0,7.26,85000.0,11.66,0.0,29176.0,30.0,0,0.025,2.5,Low Risk,Approve
12350.0,12.12,65000.0,15.25,0.0,7896.0,18.0,0,0.18,18.0,Low Risk,Approve
12000.0,13.99,60000.0,23.52,0.0,12573.0,19.0,1,0.375,37.5,Medium Risk,Manual Review
3500.0,7.24,50000.0,12.53,0.0,2244.0,34.0,0,0.035,3.5,Low Risk,Approve
9300.0,5.32,96000.0,9.64,1.0,1833.0,26.0,0,0.025,2.5,Low Risk,Approve
10750.0,12.99,32000.0,24.83,0.0,12912.0,43.0,0,0.25,25.0,Medium Risk,Manual Review
24000.0,15.31,110000.0,19.48,1.0,19957.0,42.0,0,0.165,16.5,Low Risk,Approve
12000.0,9.99,75000.0,11.62,0.0,10917.0,33.0,0,0.12,12.0,Low Risk,Approve
7500.0,18.24,48000.0,26.83,3.0,8858.0,21.0,0,0.285,28.5,Medium Risk,Manual Review
7000.0,12.12,30000.0,9.28,0.0,6457.0,11.0,0,0.29,29.0,Medium Risk,Manual Review
5750.0,6.24,35000.0,29.7,0.0,5941.0,24.0,0,0.08,8.0,Low Risk,Approve
8000.0,12.29,90000.0,8.28,0.0,11688.0,20.0,0,0.18,18.0,Low Risk,Approve
11200.0,19.53,110000.0,40.9,1.0,21643.0,33.0,1,0.465,46.5,Medium Risk,Manual Review
12000.0,11.55,35000.0,29.38,0.0,13323.0,11.0,0,0.3,30.0,Medium Risk,Manual Review
2000.0,9.49,50000.0,14.57,0.0,5347.0,28.0,0,0.125,12.5,Low Risk,Approve
2800.0,12.99,18600.0,23.03,0.0,2112.0,17.0,0,0.17,17.0,Low Risk,Approve
20000.0,17.77,70000.0,14.81,0.0,17689.0,9.0,0,0.24,24.0,Medium Risk,Manual Review
25000.0,7.35,75000.0,10.18,0.0,23876.0,17.0,0,0.04,4.0,Low Risk,Approve
35000.0,9.16,201600.0,8.69,0.0,38227.0,15.0,0,0.125,12.5,Low Risk,Approve
8500.0,10.91,78000.0,17.15,1.0,8530.0,16.0,0,0.07,7.0,Low Risk,Approve
2000.0,13.11,60000.0,19.06,0.0,8713.0,26.0,0,0.155,15.5,Low Risk,Approve
6000.0,14.65,24000.0,33.02,0.0,5575.0,10.0,0,0.21,21.0,Medium Risk,Manual Review
24000.0,21.85,93200.0,15.86,0.0,30024.0,24.0,1,0.275,27.5,Medium Risk,Manual Review
16000.0,9.17,78000.0,31.06,0.0,97839.0,20.0,0,0.2,20.0,Medium Risk,Manual Review
20000.0,9.93,51600.0,9.16,0.0,2744.0,33.0,0,0.175,17.5,Low Risk,Approve
8500.0,7.62,120000.0,5.18,0.0,7390.0,25.0,0,0.045,4.5,Low Risk,Approve
9000.0,12.74,105000.0,33.3,0.0,32933.0,52.0,0,0.2,20.0,Medium Risk,Manual Review
15000.0,18.25,56000.0,13.39,2.0,3596.0,12.0,0,0.26,26.0,Medium Risk,Manual Review
8000.0,20.0,120000.0,12.09,0.0,18940.0,40.0,0,0.15,15.0,Low Risk,Approve
9250.0,7.89,39000.0,10.92,6.0,1447.0,55.0,0,0.135,13.5,Low Risk,Approve
18000.0,13.67,83294.0,17.1,0.0,15849.0,18.0,0,0.16,16.0,Low Risk,Approve
15000.0,10.99,45000.0,28.4,0.0,11738.0,24.0,0,0.165,16.5,Low Risk,Approve
5000.0,9.17,65000.0,4.12,0.0,5523.0,18.0,1,0.05,5.0,Low Risk,Approve
9500.0,12.85,36000.0,17.6,0.0,11223.0,14.0,1,0.165,16.5,Low Risk,Approve
7250.0,18.85,90000.0,3.44,0.0,263.0,27.0,0,0.11,11.0,Low Risk,Approve
15000.0,11.99,70000.0,8.47,0.0,9508.0,15.0,0,0.14,14.0,Low Risk,Approve
10000.0,10.99,140000.0,10.29,0.0,39742.0,21.0,0,0.13,13.0,Low Risk,Approve
20000.0,6.62,75000.0,8.32,0.0,23089.0,26.0,0,0.02,2.0,Low Risk,Approve
22200.0,6.03,56000.0,14.16,0.0,16376.0,18.0,0,0.045,4.5,Low Risk,Approve
5825.0,16.29,70000.0,7.03,0.0,918.0,10.0,0,0.17,17.0,Low Risk,Approve
13475.0,5.93,40000.0,25.23,0.0,15.0,17.0,0,0.15,15.0,Low Risk,Approve
7000.0,7.49,100000.0,5.74,1.0,1112.0,52.0,0,0.1,10.0,Low Risk,Approve
14000.0,14.09,72000.0,25.48,1.0,8938.0,21.0,0,0.315,31.5,Medium Risk,Manual Review
17000.0,11.99,48000.0,21.83,0.0,4669.0,27.0,0,0.185,18.5,Low Risk,Approve
5000.0,6.92,39996.0,3.0,0.0,4682.0,11.0,0,0.14,14.0,Low Risk,Approve
14000.0,6.49,55000.0,25.14,1.0,7626.0,42.0,0,0.095,9.5,Low Risk,Approve
8050.0,14.99,71000.0,30.17,0.0,21402.0,33.0,0,0.275,27.5,Medium Risk,Manual Review
15075.0,17.09,39800.0,33.69,0.0,9809.0,34.0,0,0.46,46.0,Medium Risk,Manual Review
8000.0,13.49,129000.0,21.43,1.0,17752.0,25.0,1,0.295,29.5,Medium Risk,Manual Review
6000.0,10.99,55000.0,24.35,0.0,10332.0,22.0,0,0.28,28.0,Medium Risk,Manual Review
10000.0,15.61,40000.0,16.35,0.0,7001.0,19.0,1,0.26,26.0,Medium Risk,Manual Review
20000.0,17.09,72000.0,19.27,0.0,7079.0,20.0,0,0.34,34.0,Medium Risk,Manual Review
25000.0,16.99,61000.0,18.28,1.0,28090.0,39.0,1,0.24,24.0,Medium Risk,Manual Review
10000.0,9.99,40000.0,13.68,0.0,4620.0,16.0,0,0.125,12.5,Low Risk,Approve
28500.0,21.49,62000.0,2.79,0.0,1703.0,7.0,1,0.315,31.5,Medium Risk,Manual Review
8400.0,7.97,42000.0,18.63,0.0,21.0,19.0,0,0.16,16.0,Low Risk,Approve
8175.0,25.88,26000.0,16.3,0.0,4701.0,14.0,0,0.49,49.0,Medium Risk,Manual Review
13000.0,23.4,42000.0,19.17,0.0,24108.0,34.0,0,0.33,33.0,Medium Risk,Manual Review
12000.0,13.99,83000.0,13.62,0.0,39084.0,30.0,1,0.345,34.5,Medium Risk,Manual Review
6000.0,9.17,40000.0,4.68,0.0,5613.0,11.0,0,0.065,6.5,Low Risk,Approve
2500.0,13.49,120000.0,18.62,13.0,9524.0,48.0,0,0.115,11.5,Low Risk,Approve
12000.0,24.74,57000.0,19.49,0.0,13381.0,17.0,0,0.475,47.5,Medium Risk,Manual Review
20000.0,10.42,125000.0,12.11,1.0,9745.0,32.0,0,0.07,7.0,Low Risk,Approve
19800.0,19.99,55000.0,24.11,0.0,5119.0,23.0,1,0.425,42.5,Medium Risk,Manual Review
18000.0,10.99,45000.0,14.35,1.0,19639.0,16.0,0,0.14,14.0,Low Risk,Approve
15400.0,15.31,70000.0,24.36,1.0,6795.0,50.0,0,0.275,27.5,Medium Risk,Manual Review
15000.0,18.55,52000.0,15.67,0.0,12377.0,37.0,1,0.305,30.5,Medium Risk,Manual Review
5100.0,12.12,73000.0,0.69,0.0,875.0,10.0,0,0.1,10.0,Low Risk,Approve
8000.0,12.69,56400.0,16.13,0.0,7953.0,33.0,0,0.075,7.5,Low Risk,Approve
24000.0,11.99,98000.0,14.14,0.0,22834.0,31.0,0,0.14,14.0,Low Risk,Approve
16000.0,15.22,140000.0,14.67,0.0,3348.0,28.0,0,0.265,26.5,Medium Risk,Manual Review
10000.0,12.74,46000.0,23.69,0.0,6049.0,11.0,0,0.195,19.5,Low Risk,Approve
2000.0,12.62,42500.0,6.77,0.0,13071.0,17.0,0,0.155,15.5,Low Risk,Approve
14400.0,16.55,40000.0,27.93,0.0,7181.0,10.0,1,0.37,37.0,Medium Risk,Manual Review
35000.0,19.97,135000.0,11.01,0.0,26320.0,41.0,0,0.36,36.0,Medium Risk,Manual Review
30000.0,19.03,120000.0,33.61,0.0,148222.0,43.0,0,0.305,30.5,Medium Risk,Manual Review
9375.0,17.86,46025.0,20.34,0.0,848.0,17.0,1,0.24,24.0,Medium Risk,Manual Review
10000.0,21.45,45000.0,26.83,0.0,11338.0,19.0,0,0.42,42.0,Medium Risk,Manual Review
13000.0,10.99,147000.0,8.87,0.0,6637.0,12.0,0,0.1,10.0,Low Risk,Approve
12000.0,15.31,106000.0,15.56,1.0,29930.0,29.0,0,0.09,9.0,Low Risk,Approve
10000.0,9.75,122000.0,4.5,0.0,14224.0,28.0,0,0.17,17.0,Low Risk,Approve
17500.0,13.67,64000.0,22.67,0.0,21998.0,38.0,1,0.44,44.0,Medium Risk,Manual Review
20000.0,12.79,100000.0,12.41,0.0,30315.0,17.0,0,0.155,15.5,Low Risk,Approve
2400.0,9.17,72000.0,18.27,0.0,9060.0,26.0,1,0.125,12.5,Low Risk,Approve
11200.0,7.9,55360.0,7.38,0.0,8064.0,21.0,0,0.045,4.5,Low Risk,Approve
10000.0,15.02,60000.0,22.2,1.0,12458.0,12.0,0,0.2,20.0,Medium Risk,Manual Review
8000.0,17.99,60000.0,23.06,0.0,5989.0,15.0,0,0.375,37.5,Medium Risk,Manual Review
10800.0,18.99,55000.0,34.43,1.0,9881.0,19.0,1,0.425,42.5,Medium Risk,Manual Review
20000.0,12.49,80000.0,20.09,0.0,15649.0,27.0,0,0.14,14.0,Low Risk,Approve
24000.0,11.99,60000.0,28.96,0.0,15477.0,30.0,0,0.245,24.5,Medium Risk,Manual Review
9000.0,9.99,35400.0,13.08,0.0,1947.0,21.0,0,0.17,17.0,Low Risk,Approve
9250.0,16.99,40000.0,22.62,0.0,6938.0,18.0,0,0.335,33.5,Medium Risk,Manual Review
30000.0,12.99,300000.0,14.46,1.0,47372.0,55.0,0,0.245,24.5,Medium Risk,Manual Review
7000.0,12.85,62400.0,18.87,0.0,7602.0,17.0,0,0.1,10.0,Low Risk,Approve
12000.0,14.33,70000.0,13.94,0.0,6791.0,24.0,0,0.085,8.5,Low Risk,Approve
6400.0,9.8,46000.0,27.39,0.0,5086.0,17.0,0,0.18,18.0,Low Risk,Approve
15400.0,11.67,45000.0,19.33,0.0,10960.0,11.0,0,0.13,13.0,Low Risk,Approve
20000.0,8.39,120000.0,4.59,0.0,18826.0,14.0,0,0.075,7.5,Low Risk,Approve
18850.0,16.78,41900.0,23.03,0.0,16066.0,30.0,0,0.26,26.0,Medium Risk,Manual Review
13625.0,16.99,99000.0,26.84,4.0,14493.0,26.0,0,0.22,22.0,Medium Risk,Manual Review
15000.0,6.03,50000.0,11.09,0.0,9239.0,20.0,0,0.075,7.5,Low Risk,Approve
5000.0,13.49,145000.0,16.36,0.0,11087.0,21.0,0,0.06,6.0,Low Risk,Approve
35000.0,24.11,200000.0,14.91,1.0,631.0,18.0,1,0.425,42.5,Medium Risk,Manual Review
15000.0,23.99,108000.0,30.67,0.0,10314.0,39.0,0,0.43,43.0,Medium Risk,Manual Review
8000.0,17.14,44300.0,26.63,0.0,17232.0,36.0,0,0.21,21.0,Medium Risk,Manual Review
6175.0,13.67,43000.0,30.98,0.0,15372.0,17.0,0,0.16,16.0,Low Risk,Approve
15000.0,28.72,72000.0,34.77,0.0,30890.0,26.0,1,0.48,48.0,Medium Risk,Manual Review
10000.0,11.44,68000.0,11.93,0.0,8987.0,11.0,0,0.125,12.5,Low Risk,Approve
9400.0,9.49,32629.0,36.41,0.0,8485.0,25.0,1,0.195,19.5,Low Risk,Approve
11000.0,16.01,115000.0,23.05,0.0,14684.0,55.0,0,0.37,37.0,Medium Risk,Manual Review
11275.0,27.49,35000.0,15.31,0.0,7948.0,15.0,1,0.715,71.5,High Risk,Reject
17000.0,6.03,72000.0,13.3,0.0,7420.0,17.0,0,0.055,5.5,Low Risk,Approve
20975.0,16.55,42000.0,22.23,1.0,22472.0,7.0,1,0.285,28.5,Medium Risk,Manual Review
5000.0,12.98,24000.0,8.3,0.0,4600.0,10.0,0,0.165,16.5,Low Risk,Approve
14500.0,14.08,71000.0,9.38,1.0,21508.0,35.0,0,0.065,6.5,Low Risk,Approve
15000.0,17.77,70000.0,16.35,0.0,16400.0,38.0,0,0.275,27.5,Medium Risk,Manual Review
19900.0,7.26,100000.0,16.88,0.0,730.0,9.0,0,0.05,5.0,Low Risk,Approve
9050.0,18.55,26690.0,8.45,0.0,4742.0,7.0,0,0.205,20.5,Medium Risk,Manual Review
4000.0,14.08,60000.0,17.92,0.0,10980.0,23.0,0,0.235,23.5,Medium Risk,Manual Review
35000.0,17.57,100000.0,25.07,0.0,29265.0,30.0,0,0.23,23.0,Medium Risk,Manual Review
2000.0,16.99,30000.0,29.84,1.0,393.0,36.0,1,0.23,23.0,Medium Risk,Manual Review
6500.0,15.8,33500.0,29.84,0.0,7039.0,15.0,0,0.255,25.5,Medium Risk,Manual Review
12000.0,21.48,49000.0,31.57,0.0,14379.0,63.0,0,0.395,39.5,Medium Risk,Manual Review
20000.0,8.19,67000.0,16.26,1.0,12537.0,24.0,0,0.07,7.0,Low Risk,Approve
28000.0,6.39,65000.0,5.88,2.0,1097.0,25.0,0,0.15,15.0,Low Risk,Approve
30000.0,12.99,137000.0,11.76,0.0,25039.0,54.0,0,0.205,20.5,Medium Risk,Manual Review
3000.0,16.02,32000.0,30.76,0.0,5425.0,21.0,0,0.375,37.5,Medium Risk,Manual Review
4000.0,12.49,39600.0,18.45,0.0,4086.0,5.0,0,0.165,16.5,Low Risk,Approve
30000.0,12.69,76000.0,20.99,1.0,23092.0,17.0,0,0.36,36.0,Medium Risk,Manual Review
14300.0,14.49,90000.0,8.99,0.0,1801.0,36.0,0,0.345,34.5,Medium Risk,Manual Review
24000.0,11.99,48000.0,1.25,0.0,14284.0,20.0,1,0.205,20.5,Medium Risk,Manual Review
5000.0,12.29,30000.0,9.84,0.0,14741.0,12.0,0,0.225,22.5,Medium Risk,Manual Review
18000.0,7.89,58272.0,6.12,0.0,18323.0,19.0,0,0.06,6.0,Low Risk,Approve
32175.0,18.25,80000.0,29.49,0.0,36244.0,28.0,0,0.24,24.0,Medium Risk,Manual Review
28000.0,20.8,79000.0,27.34,0.0,12358.0,27.0,1,0.34,34.0,Medium Risk,Manual Review
10675.0,18.99,40000.0,29.46,0.0,5671.0,11.0,0,0.475,47.5,Medium Risk,Manual Review
